LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1679956661.237475,177741.000,25951,1,TH,1,100,30.535
1679956661.370475,177874.000,25967,1,TH,1,100,30.535
1679956661.504475,178008.000,25985,1,TH,1,100,30.593
1679956661.637475,178141.000,26018,1,TH,1,100,30.600
1679956661.770475,178274.000,26034,1,TH,1,100,30.515
1679956661.904475,178408.000,26054,1,TH,1,100,30.515
1679956662.037476,178541.000,26085,1,TH,1,100,30.577
1679956662.170476,178674.000,26102,1,TH,1,100,30.577
1679956662.304476,178808.000,26119,1,TH,1,100,30.527
1679956662.437476,178941.000,26135,1,TH,1,100,30.527
1679956662.570476,179074.000,26169,1,TH,1,100,30.582
1679956662.704476,179208.000,26186,1,TH,1,100,30.589
1679956662.837476,179341.000,26203,1,TH,1,100,30.460
1679956662.970476,179474.000,26234,1,TH,1,100,30.453
1679956663.104476,179608.000,26253,1,TH,1,100,30.617
1679956663.237476,179741.000,26270,1,TH,1,100,30.617
1679956663.370476,179874.000,26301,1,TH,1,100,30.475
1679956663.503476,180007.000,26319,1,TH,1,100,30.482
1679956663.637476,180141.000,26337,1,TH,1,100,30.584
1679956663.770476,180274.000,26374,1,TH,1,100,30.584
1679956663.903476,180407.000,26391,1,TH,1,100,30.502
1679956664.037476,180541.000,26407,1,TH,1,100,30.502
1679956664.170476,180674.000,26439,1,TH,1,100,30.539
1679956664.303476,180807.000,26458,1,TH,1,100,30.539
1679956664.437476,180941.000,26474,1,TH,1,100,30.576
1679956664.570476,181074.000,26494,1,TH,1,100,30.576
1679956664.703476,181207.000,26525,1,TH,1,100,30.487
1679956664.837476,181341.000,26542,1,TH,1,100,30.487
1679956664.970477,181474.000,26559,1,TH,1,100,30.539
1679956665.103477,181607.000,26591,1,TH,1,100,30.539
1679956665.237477,181741.000,26607,1,TH,1,100,30.599
1679956665.370477,181874.000,26624,1,TH,1,100,30.599
1679956665.503477,182007.000,26658,1,TH,1,100,30.509
1679956665.637477,182141.000,26674,1,TH,1,100,30.509
1679956665.770477,182274.000,26691,1,TH,1,100,30.539
1679956665.903477,182407.000,26725,1,TH,1,100,30.539
1679956666.037477,182541.000,26741,1,TH,1,100,30.651
1679956666.170477,182674.000,26759,1,TH,1,100,30.658
1679956666.303477,182807.000,26790,1,TH,1,100,30.573
1679956666.437477,182941.000,26806,1,TH,1,100,30.573
1679956666.570477,183074.000,26826,1,TH,1,100,30.548
1679956666.703477,183207.000,26857,1,TH,1,100,30.548
1679956666.837477,183341.000,26876,1,TH,1,100,30.576
1679956666.970477,183474.000,26893,1,TH,1,100,30.576
1679956667.103477,183607.000,26909,1,TH,1,100,30.518
