LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1679956718.598494,235102,35371,1,HR,1,100,43
1679956719.691494,236195,35537,1,HR,1,100,45
1679956720.491494,236995,35678,1,HR,1,100,48
1679956721.291495,237795,35811,1,HR,1,100,52
1679956722.464495,238968,35994,1,HR,1,100,52
1679956723.144495,239648,36113,1,HR,1,100,56
1679956724.544496,241048,36347,1,HR,1,100,54
1679956726.117496,242621,36602,1,HR,1,100,53
1679956729.370497,245874,37134,1,HR,1,100,48
1679956730.370497,246874,37291,1,HR,1,100,50
1679956731.343498,247847,37457,1,HR,1,100,51
1679956732.223498,248727,37591,1,HR,1,100,53
1679956733.103498,249607,37743,1,HR,1,100,55
1679956734.316499,250820,37943,1,HR,1,100,54
1679956735.036499,251540,38062,1,HR,1,100,58
1679956736.570500,253074,38318,1,HR,1,100,56
1679956737.770500,254274,38519,1,HR,1,100,55
1679956738.450500,254954,38618,1,HR,1,100,59
1679956739.543500,256047,38805,1,HR,1,100,59
1679956740.302501,256806,38921,1,HR,1,100,61
1679956741.302501,257806,39091,1,HR,1,100,61
1679956742.316501,258820,39257,1,HR,1,100,61
1679956743.275502,259779,39408,1,HR,1,100,61
1679956744.275502,260779,39578,1,HR,1,100,61
1679956745.249502,261753,39745,1,HR,1,100,61
1679956746.049503,262553,39869,1,HR,1,100,63
1679956746.928503,263432,40020,1,HR,1,100,63
1679956748.822504,265326,40322,1,HR,1,100,60
1679956749.822504,266326,40490,1,HR,1,100,60
1679956751.515504,268019,40766,1,HR,1,100,57
1679956753.155505,269659,41032,1,HR,1,100,54
1679956754.008505,270512,41171,1,HR,1,100,56
1679956754.928505,271432,41322,1,HR,1,100,57
1679956755.968506,272472,41497,1,HR,1,100,58
1679956756.861506,273365,41649,1,HR,1,100,59
1679956758.021507,274525,41835,1,HR,1,100,58
1679956758.741507,275245,41957,1,HR,1,100,61
1679956760.154507,276658,42192,1,HR,1,100,59
1679956761.594508,278098,42433,1,HR,1,100,57
1679956762.127508,278631,42516,1,HR,1,100,64
1679956763.767508,280271,42800,1,HR,1,100,60
1679956765.660509,282164,43099,1,HR,1,100,57
1679956767.793510,284297,43454,1,HR,1,100,54
1679956768.633510,285137,43589,1,HR,1,100,56
1679956769.673510,286177,43755,1,HR,1,100,56
1679956770.526510,287030,43907,1,HR,1,100,58
1679956771.446511,287950,44046,1,HR,1,100,59
1679956772.286511,288790,44195,1,HR,1,100,60
1679956773.286511,289790,44347,1,HR,1,100,60
1679956774.139512,290643,44497,1,HR,1,100,62
1679956775.139512,291643,44665,1,HR,1,100,61
1679956775.899512,292403,44784,1,HR,1,100,63
1679956777.272513,293776,45005,1,HR,1,100,61
1679956779.045513,295549,45305,1,HR,1,100,58
1679956780.845514,297349,45589,1,HR,1,100,55
1679956781.565514,298069,45714,1,HR,1,100,58
1679956782.938514,299442,45931,1,HR,1,100,57
1679956784.498515,301002,46182,1,HR,1,100,55
1679956785.391515,301895,46332,1,HR,1,100,56
1679956786.431516,302935,46503,1,HR,1,100,56
1679956787.231516,303735,46623,1,HR,1,100,59
1679956788.444516,304948,46822,1,HR,1,100,58
1679956790.124517,306628,47089,1,HR,1,100,55
1679956790.977517,307481,47224,1,HR,1,100,57
1679956792.177517,308681,47414,1,HR,1,100,56
1679956792.817518,309321,47517,1,HR,1,100,61
1679956794.030518,310534,47717,1,HR,1,100,59
1679956794.670518,311174,47820,1,HR,1,100,63
1679956795.710519,312214,47988,1,HR,1,100,63
1679956797.763519,314267,48310,1,HR,1,100,59
1679956799.497520,316001,48562,1,HR,1,100,56
1679956800.496520,317000,48731,1,HR,1,100,56
1679956801.216520,317720,48847,1,HR,1,100,60
1679956802.350521,318854,49020,1,HR,1,100,59
1679956803.349521,319853,49188,1,HR,1,100,59
